year,borough,category,rent
2014,Wandsworth,One Bedroom,1247
2014,Westminster,One Bedroom,1761
2014,City of London,Two Bedroom,2328
2014,Barking and Dagenham,Two Bedroom,872
2014,Barnet,Two Bedroom,1304
2014,Bexley,Two Bedroom,880
2014,Brent,Two Bedroom,1347
2014,Bromley,Two Bedroom,1054
2014,Camden,Two Bedroom,1933
2014,Croydon,Two Bedroom,999
2014,Ealing,Two Bedroom,1462
2014,Enfield,Two Bedroom,1152
2014,Greenwich,Two Bedroom,1196
2014,Hackney,Two Bedroom,1589
2014,Hammersmith and Fulham,Two Bedroom,1762
2014,Haringey,Two Bedroom,1387
2014,Harrow,Two Bedroom,1169
2014,Havering,Two Bedroom,884
2014,Hillingdon,Two Bedroom,1081
2014,Hounslow,Two Bedroom,1384
2014,Islington,Two Bedroom,1819
2014,Kensington and Chelsea,Two Bedroom,2808
2014,Kingston upon Thames,Two Bedroom,1241
2014,Lambeth,Two Bedroom,1506
2014,Lewisham,Two Bedroom,1146
2014,Merton,Two Bedroom,1424
2014,Newham,Two Bedroom,1100
2014,Redbridge,Two Bedroom,1016
2014,Richmond upon Thames,Two Bedroom,1580
2014,Southwark,Two Bedroom,1598
2014,Sutton,Two Bedroom,1023
2014,Tower Hamlets,Two Bedroom,1564
2014,Waltham Forest,Two Bedroom,1089
2014,Wandsworth,Two Bedroom,1591
2014,Westminster,Two Bedroom,2442
2011,City of London,Three Bedroom,-
2011,Barking and Dagenham,Three Bedroom,1144
2011,Barnet,Three Bedroom,1733
2011,Bexley,Three Bedroom,1105
2011,Brent,Three Bedroom,1698
2011,Bromley,Three Bedroom,1372
2011,Camden,Three Bedroom,2658
2011,Croydon,Three Bedroom,1251
2011,Ealing,Three Bedroom,1836
2011,Enfield,Three Bedroom,1388
2011,Greenwich,Three Bedroom,1449
2011,Hackney,Three Bedroom,2051
2011,Hammersmith and Fulham,Three Bedroom,2444
2011,Haringey,Three Bedroom,1748
2011,Harrow,Three Bedroom,1419
2011,Havering,Three Bedroom,1065
2011,Hillingdon,Three Bedroom,1283
2011,Hounslow,Three Bedroom,1676
2011,Islington,Three Bedroom,2315
2011,Kensington and Chelsea,Three Bedroom,4965
2011,Kingston upon Thames,Three Bedroom,1515
2011,Lambeth,Three Bedroom,1980
2011,Lewisham,Three Bedroom,1390
2011,Merton,Three Bedroom,1838
2011,Newham,Three Bedroom,1383
2011,Redbridge,Three Bedroom,1315
2011,Richmond upon Thames,Three Bedroom,2225
2011,Southwark,Three Bedroom,1911
2011,Sutton,Three Bedroom,1352
2011,Tower Hamlets,Three Bedroom,2124
2011,Waltham Forest,Three Bedroom,1354
2011,Wandsworth,Three Bedroom,2089
2011,Westminster,Three Bedroom,3798
2015,City of London,One Bedroom,1939
2015,Barking and Dagenham,One Bedroom,749
2015,Barnet,One Bedroom,1044
2015,Bexley,One Bedroom,721
2015,Brent,One Bedroom,1140
2015,Bromley,One Bedroom,872
2015,Camden,One Bedroom,1558
2015,Croydon,One Bedroom,845
2015,Ealing,One Bedroom,1157
2015,Enfield,One Bedroom,924
2015,Greenwich,One Bedroom,1012
2015,Hackney,One Bedroom,1344
2015,Hammersmith and Fulham,One Bedroom,1337
2015,Haringey,One Bedroom,1161
2015,Harrow,One Bedroom,965
2015,Havering,One Bedroom,725
2015,Hillingdon,One Bedroom,874
2015,Hounslow,One Bedroom,1105
2015,Islington,One Bedroom,1503
2015,Kensington and Chelsea,One Bedroom,2042
2015,Kingston upon Thames,One Bedroom,1018
2015,Lambeth,One Bedroom,1254
2015,Lewisham,One Bedroom,964
2015,Merton,One Bedroom,1087
2015,Newham,One Bedroom,955
2015,Redbridge,One Bedroom,839
2015,Richmond upon Thames,One Bedroom,1206
2015,Southwark,One Bedroom,1323
2015,Sutton,One Bedroom,808
2015,Tower Hamlets,One Bedroom,1327
2015,Waltham Forest,One Bedroom,918
2015,Wandsworth,One Bedroom,1315
2015,Westminster,One Bedroom,2110
2015,City of London,Two Bedroom,2979
2015,Barking and Dagenham,Two Bedroom,952
2015,Barnet,Two Bedroom,1342
2015,Bexley,Two Bedroom,937
2015,Brent,Two Bedroom,1416
2015,Bromley,Two Bedroom,1146
2015,Camden,Two Bedroom,2077
